task_id,bloque,subbloque,tarea,tipo,prioridad,estado,dependencia,hipotesis,entregable,fecha_objetivo,notas
T-013,B0,Registros iniciales,Abrir primera decisión y primera bitácora como ejemplo operativo,documentacion,media,hecho,T-001,HG,ENT-001,2026-03-23,Permite poblar dashboard desde el arranque
T-014,B0,Reporte consistencia,Generar reporte legible de consistencia del sistema,automatizacion,media,hecho,T-004,HG,ENT-002,2026-03-23,Orientado a revisión rápida humana
T-015,B3,Métricas,Definir cuadro maestro de métricas de resiliencia y control,analisis,alta,pendiente,T-012,H3|H4|H5,ENT-005,2026-04-14,Debe servir tanto a simulación como a experimento
T-016,B0,Economía de uso,Formalizar política operativa de economía de uso y selección de razonamiento,documentacion,alta,hecho,T-013,HG,ENT-001,2026-03-24,Debe volver explícita la relación entre presupuesto de uso y avance funcional
T-017,B0,Seguimiento de consumo,Incorporar registro mínimo de economía de uso en bitácora y revisión semanal,documentacion,media,hecho,T-016,HG,ENT-001,2026-03-28,Permite aprender qué tipo de tareas consumen más y ajustar estrategia
T-018,B0,Despliegue ARM64,Preparar infraestructura y script de despliegue automatizado para clonar en entorno nativo Orange Pi 5 Plus,implementacion,alta,hecho,T-004,HG,ENT-001,2026-03-24,Asegura base operativa sin fricción cruzada de compiladores
T-019,B0,Wiki OpenSource Remota,Implementar MkDocs Material y GitHub Pages para servir la documentación de forma gratuita y automática,implementacion,alta,hecho,T-003,HG,ENT-001,2026-03-24,Permite visualizar el avance del proyecto sin costo y en tiempo real
T-020,B0,Refuerzo QoL,"Implementar scripts de productividad (new_log, new_decision) y visualización Mermaid dinámica",implementacion,alta,hecho,T-004,HG,ENT-001,2026-03-24,Asegura fluidez en el registro y visualización de la tesis
T-021,B0,Trazabilidad Alta,"Implementar infraestructura de auditoría, sign-off humano y Badges de verificación",implementacion,alta,hecho,T-004,HG,ENT-001,2026-03-24,Eleva el nivel de integridad científica y verifiabilidad de la tesis
T-022,B0,Agencia Auditada,Integrar auto-reporte de IA agéntica y detección de conflictos con firmas humanas,implementacion,alta,hecho,T-021,HG,ENT-001,2026-03-24,Garantiza que el tesista humano tenga el control final sobre los cambios generados por IA
T-023,B0,Excelencia B0,"Implementar asistente de flujo de trabajo, escáner de secretos y Gantt de roadmap",implementacion,alta,hecho,T-022,HG,ENT-001,2026-03-24,Lleva la infraestructura a nivel profesional y seguro antes de la fase de datos
T-024,B0,Operación humana dual,Institucionalizar la operación humano-primero con manual CLI guiada y separación privado/público,implementacion,alta,hecho,T-023,HG,ENT-001,2026-03-26,Reduce dependencia operativa de IA y mejora legibilidad para colaboradores y jurado
T-025,B0,Publicación sanitizada,Implementar bundle público sanitizado reproducible y validable desde la base privada,implementacion,alta,hecho,T-024,HG,ENT-001,2026-03-26,Cierra la exposición pública sin duplicación manual del repositorio
T-026,B0,Operabilidad humana,Verificar rutas mínimas de retoma auditoría y publicación sin IA obligatoria,validacion,media,hecho,T-024,HG,ENT-001,2026-03-26,Introduce `doctor` `next` y chequeos de operabilidad humana
T-027,B0,Arquitectura de dominios,Definir arquitectura de separación obligatoria entre sistema_tesis edge_iot y openclaw con contratos de interfaz,arquitectura,critica,pendiente,T-026,HG,ENT-013,2026-04-06,Incluye límites de responsabilidad y prohibiciones de acoplamiento cruzado
T-028,B0,Estructura de repositorio,Implementar estructura física por dominio con guardrails de no mezcla y ownership explícito,implementacion,alta,pendiente,T-027,HG,ENT-013,2026-04-07,Validar que scripts de un dominio no escriban en otro
T-029,B0,Secretos por dominio,Separar gestión de secretos y variables por dominio con rutas y políticas independientes,implementacion,critica,pendiente,T-028,HG,ENT-013,2026-04-08,Usar archivos de entorno separados y rotación mínima
T-030,B0,Aislamiento de red y runtime,Definir aislamiento de red y runtime por dominio en Orange Pi con comunicación solo por contratos explícitos,implementacion,critica,pendiente,T-029,HG,ENT-013,2026-04-09,Segmentación mínima de puertos y rutas permitidas
T-031,B0,Hardening edge_iot,Aplicar hardening del SO de Orange Pi para el dominio edge_iot sin afectar sistema_tesis ni openclaw,implementacion,critica,pendiente,T-030,HG,ENT-013,2026-04-10,SSH firewall fail2ban actualizaciones y mínimo privilegio
T-032,B0,Servicios edge_iot,Configurar servicios systemd de edge_iot con healthchecks restart policy y dependencias seguras,implementacion,alta,pendiente,T-031,HG,ENT-013,2026-04-11,No compartir unidades de servicio con otros dominios
T-033,B0,Observabilidad separada,Implementar logging y métricas separadas por dominio con retención y rutas independientes,implementacion,alta,pendiente,T-032,HG,ENT-013,2026-04-12,Evidencia operativa sin mezcla de bitácoras técnicas
T-034,B0,Resiliencia edge_iot,Implementar watchdog auto-recovery y manejo de intermitencia para servicios de edge_iot,implementacion,alta,pendiente,T-033,HG,ENT-013,2026-04-13,Recuperación automática ante cortes parciales
T-035,B0,Backups por dominio,Implementar backup y restore independiente para sistema_tesis edge_iot y openclaw con prueba real de restauración,validacion,alta,pendiente,T-033,HG,ENT-013,2026-04-14,Incluye prueba de recuperación en Orange Pi
T-036,B0,Seguridad de integración,Validar que la integración entre dominios use solo APIs o colas definidas y bloquear accesos internos directos,validacion,critica,pendiente,T-030,HG,ENT-013,2026-04-15,Incluir pruebas negativas de acceso cruzado
T-037,B0,Benchmark edge_iot,Ejecutar benchmark base de latencia throughput CPU RAM temperatura y energía en edge_iot,validacion,media,pendiente,T-034,HG,ENT-013,2026-04-16,Establece línea base operativa antes de B1 B2
T-038,B0,Go No Go Orange Pi,Emitir checklist de aceptación para instalación productiva en Orange Pi con evidencia trazable,cierre,critica,pendiente,T-035|T-036|T-037,HG,ENT-013,2026-04-17,Formaliza criterio de edge listo
T-039,B0,Arquitectura interna SO tesis,Definir arquitectura modular del sistema operativo de tesis con límites entre canon proyecciones auditoría y publicación,arquitectura,critica,pendiente,T-027,HG,ENT-014,2026-04-08,Debe separar capas y eliminar acoplamiento implícito
T-040,B0,Modelo de datos canónico,Formalizar esquema de datos canónicos y contratos de evolución para eventos estado y proyecciones,arquitectura,alta,pendiente,T-039,HG,ENT-014,2026-04-09,Incluye reglas de compatibilidad hacia atrás
T-041,B0,Contratos CLI y scripts,Definir contratos estables para comandos tesis.py y scripts críticos con entradas y salidas verificables,implementacion,alta,pendiente,T-039,HG,ENT-014,2026-04-10,Evita roturas silenciosas entre automatizaciones
T-042,B0,Mapa de dependencias críticas,Auditar dependencias internas del sistema y eliminar ciclos o acoplamientos riesgosos entre módulos,implementacion,alta,pendiente,T-040,HG,ENT-014,2026-04-10,Prioriza módulos de canon guardrails y publicación
T-043,B0,Política de versionado interno,Implementar versionado semántico de esquema y migraciones controladas del sistema operativo de tesis,implementacion,alta,pendiente,T-040,HG,ENT-014,2026-04-11,Incluye registro de migraciones y rollback seguro
T-044,B0,Arquitectura de seguridad documental,Definir threat model del sistema documental y controles por superficie canon no público y público,analisis,critica,pendiente,T-039,HG,ENT-015,2026-04-12,Debe cubrir integridad disponibilidad y exposición accidental
T-045,B0,Pruebas de conformidad canónica,Implementar suite de pruebas de conformidad para validar contratos de estructura trazabilidad y evidencia,implementacion,critica,pendiente,T-041,HG,ENT-015,2026-04-13,La suite debe ejecutarse en local y CI
T-046,B0,Pruebas de regresión de build,Implementar pruebas de regresión para build_all y generación de derivados con snapshots controlados,implementacion,alta,pendiente,T-045,HG,ENT-015,2026-04-14,Previene regresiones en dashboard wiki y bundle público
T-047,B0,Observabilidad del sistema tesis,Agregar métricas de salud del sistema operativo de tesis para tiempos de build fallos y drift,implementacion,media,pendiente,T-045,HG,ENT-015,2026-04-14,Permite detectar degradación operativa temprana
T-048,B0,Optimización de eficiencia operativa,Reducir tiempo de auditoría y generación mediante profiling y mejoras de pipeline,implementacion,media,pendiente,T-046,HG,ENT-015,2026-04-15,Objetivo de menor latencia sin perder controles
T-049,B0,Documento de arquitectura objetivo,Consolidar documento final de arquitectura del sistema operativo de tesis con diagramas y decisiones trazables,documentacion,alta,pendiente,T-043|T-044,HG,ENT-014,2026-04-16,Debe ser base para operación sin IA obligatoria
T-050,B0,Cierre de arquitectura B0,Emitir criterio formal de arquitectura correcta funcional segura efectiva y eficiente con evidencia reproducible,cierre,critica,pendiente,T-038|T-046|T-048|T-049,HG,ENT-015,2026-04-18,Habilita transición de B0 a ejecución B1 B2 sin deuda arquitectónica crítica
