package_rel_path	priority_code	byte_count	role	defense_components	verification_requirement	justification
sotp_ctx__evidence_bundle__v08/p1__reference_mqtt_proxy_lora__v01.pdf	P1	15467375	literature_core	C2,C3,C4	manual_pre_citation	Conecta directamente LoRa con MQTT, clave para la arquitectura híbrida.
sotp_ctx__evidence_bundle__v08/p1__reference_thesis_methodology__v01.pdf	P1	12540176	methodology	C1,C2,C4,C6	manual_pre_citation	Soporte de organización metodológica para redactar desde cero con rigor.
sotp_ctx__evidence_spine__v08.tsv	P0	6018	evidence_spine	C1,C2,C3,C4,C5,C6	interna	Columna vertebral de evidencia incluida con prioridad y justificación.
sotp_ctx__export_coverage__v08.tsv	P1	254	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__ingest_readme__v08.md	P1	345	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__legacy_name_map__v08.tsv	P1	656	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__missing_verification_queue__v08.tsv	P1	176764	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__naming_manifest__v08.json	P1	1112	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__overleaf_status_policy__v08.md	P1	608	policy	C3,C6	interna	Fija el estatus no canónico del Overleaf actual.
sotp_ctx__registry__v08.sqlite	P0	1359872	registry	C1,C2,C3,C4,C5,C6	interna	Registro estructurado maestro del corpus, decisiones y trazabilidad.
sotp_ctx__traceability_and_ai_priorities__v08.md	P1	13514	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__traceability_priorities__v08.tsv	P1	1980	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
sotp_ctx__traceability_priority_map__v08.tsv	P1	233196	traceability	C1,C2,C3,C4,C5,C6	interna	Asigna prioridad operativa y ética por artefacto.
sotp_ctx__value_amplification_policy__v08.md	P1	1043	policy	C6	interna	Explica por qué esta versión pesa más y cómo se justificó cada inclusión.
sotp_ctx__verified_apa7_policy_notes__v08.md	P1	1026	governance	C6	manual_pre_citation	Notas verificadas sobre APA 7 y políticas de IA.
sotp_ctx__verified_apa7_sources__v08.tsv	P1	3429	support_derivative	C1,C2,C3,C4,C5,C6	interna	Derivado curado o metadato de soporte que evita recomputar análisis previos y mejora ingestión.
