priority_code	canonical_name	role	defense_components	verification_requirement	byte_count	sha256	justification
P1	p1__reference_lora_configuration_smart_cities__v01.pdf	literature_core	C2,C3,C4,C5	manual_pre_citation	6809853	0515083e8eb42aa317f0b3f77907c4faab22139151d8eed46699b3ff1383171f	Referencia técnica prioritaria para configuración y desempeño LoRa en contexto urbano.
P1	p1__reference_lora_survey__v01.pdf	literature_core	C2,C3	manual_pre_citation	3044087	b5e00170b147b78a841a27d8eaafafe3f8e82afbcb7ed5985fa07a8a86e69a78	Survey base de LoRa/LoRaWAN para marco técnico y estado del arte.
P1	p1__reference_mqtt_proxy_lora__v01.pdf	literature_core	C2,C3,C4	manual_pre_citation	15467375	52c397b75bc7ad79e8ed5c9447dcb5694585b6b675ccb060d7cb15add39916c5	Conecta directamente LoRa con MQTT, clave para la arquitectura híbrida.
P1	p1__reference_lora_mesh_routing__v01.pdf	literature_core	C2,C3,C4	manual_pre_citation	1889241	509889e64fc0f4227e251afa5918db41760cb625f7ade9791181cbca5cc72512	Soporte directo para discusión de multihop y diseño mesh.
P1	p1__reference_citywan_sensys23__v01.pdf	literature_core	C2,C4,C5	manual_pre_citation	13820110	b032c480c820187c26b174bebe009a528be46f9a4d408d4616b7cacde0f218d3	Evidencia urbana actualizada para cobertura y medición a escala de ciudad.
P1	p1__reference_thesis_methodology__v01.pdf	methodology	C1,C2,C4,C6	manual_pre_citation	12540176	946968ffaa4422d6405459e3dce8a54646650f5a9a520ea26aa7bf6848a58516	Soporte de organización metodológica para redactar desde cero con rigor.
P1	p1__hardware_heltec_wsl_v3_manual__v01.pdf	hardware_manual	C3,C4	manual_pre_citation	1429865	d96c43018ee2678b3b39a4a2f7345c5780a172355161b266e669447eb73654fe	Especificación oficial del hardware radio visible más consistente en el corpus.
P1	p1__hardware_gateway_ht_m7603_manual__v01.pdf	hardware_manual	C3,C4	manual_pre_citation	651563	df6e826c21aecb076f6a212e7bf691b09a559cedef75ef62e408742a8dd1eca8	Especificación oficial del gateway declarado en la línea Atzin.
P1	p1__reference_lorawan_sensors2020__v01.pdf	literature_support	C2,C4,C5	manual_pre_citation	645055	2ec085d6dc0387d6fd860fe17ec0d48e6b48e0ad62db680d73fa69a911b38201	Respaldo secundario sobre desempeño LoRa/LoRaWAN útil para comparativas.
P1	p1__reference_mesh_sensors2022__v01.pdf	literature_support	C2,C4,C5	manual_pre_citation	2084628	32b8da3b6bc749bb83b0a6593b5d0466e655355319fc92da3c9c940aa1a9f51d	Respaldo secundario reciente para redes y evaluación IoT/LoRa.
